title,description,directed_by,written_by,produced_by,starring,cinematography,edited_by,release_date,country,language,Unnamed: 0.1,Unnamed: 0
Across the Sea,"Across the Sea (French: La mer au loin) is a drama film, directed by Saïd Hamich Benlarbi and released in 2024.[1]",Saïd Hamich Benlarbi,Saïd Hamich Benlarbi,Sophie Penson,"Ayoub Gretaa, Grégoire Colin, Anna Mouglalis",Tom Harari,Lilian Corbeille,17 May 2024(Cannes),"France, Morocco, Belgium, Qatar","French, Arabic",,
Adam Bol,"Three reckless Kazakhstani men on a trip to America experience an emergency landing in Nigeria, which sets off series of misadventures that test their life ideals, leading to profound personal lessons.","Almaz Alimzhanov, Cheta Chukwu",,"Aidarkhan Adilbayev, Chimezie Imo, David Ikeata, Zhanel Ramazanova",,"Ziad Abd Elbasit, Aibek Khan",Valentine Chukwuma,2024,"Kazakhstan, Nigeria","English, Russian, Kazakh",,
Adam the First,A 14-year-old boy sets out across the country to meet a series of men who could be his father.[5],Irving Franco,,,"Oakes Fegley, David Duchovny, Larry Pine, T. R. Knight",,,"February 14, 2024",United States,English,,
Adam Sandler: Love You,Ventriloquist Willie Tyler and his puppet Lester appeared in the special.[3],,,,,,,,,,,
The Adamant Girl,"Kottukkaali (English: The Adamant Girl) is a 2024 Indian Tamil-language road drama film directed by P. S. Vinothraj and produced by SK Productions. The film, which revolves around Meena who loves a man from a lower caste but her family thinks she is possessed  and cast the spell out of her, stars Soori and Anna Ben (in her Tamil debut).[1]",P. S. Vinothraj,,"Sivakarthikeyan, Kalai Arasu","Soori, Anna Ben",B. Sakthivel,Ganesh Siva,16 February 2024(Berlinale),India,Tamil,,
Adbhut,"Adbhut is an Indian Hindi-language supernatural horror film written and directed by Sabbir Khan.[1]  it stars Nawazuddin Siddiqui, 
Diana Penty and Shreya Dhanwanthary.[2] The film was premiered directly on Sony Max on 15 September.[3][4][5]",Sabbir Khan,Sabbir Khan,"Sony Pictures Networks India, Sabbir Khan","Nawazuddin Siddiqui, Diana Penty, Shreya Dhanwanthary",Binod Pradhan,Manan Sagar,15 September 2024,India,Hindi,,
Ade (On a Sunday),"Ade (On a Sunday) is a 2024 Tenyidie language short film written and directed by Theja Rio[1] and produced by Dan Pusa and Nancy Nisa Beso. The crew consisted of Natdanai Ham Naksuwarn (Thailand) (DOP), Yiwei Pu (China) (Film Editor), Nir Perlman and Liam Sharpe (United Kingdom) (Sound).",Theja Rio,Theja Rio,"Theja Rio, Dan Pusa, Nancy Nisa Beso","Visalie Kuotsu, Kedo Kuotsu",Natdanai Ham Naksuwarn,Yiwei Pu,"January 26, 2024(IFFR, Netherlands)",India,Tenyidie,,
Adharma Kadhaigal,"Adharma Kadhaigal (transl. Stories of injustice) is a 2024 Indian Tamil-language fantasy thriller drama film written and directed by Kamaraj Vel. The film stars Vetri, Sakshi Agarwal,[1] Ammu Abhirami, and Dhivya Duraisamy in lead roles.",Kamaraj Vel,Kamaraj Vel,Kamaraj Vel,"Vetri, Sakshi Agarwal, Ammu Abhirami, Dhivya Duraisamy","K. K, Ms. Barani, Rajiv Rajendran, Jebin Rejinald.","Nagooran Ramachandran, Satesh Kurasowa, Mahendran Ganesan, E. Gopalakrishnan",23 August 2024,India,Tamil,,
Adios Amigo,"Adios Amigo (transl. Farewell, friend) is a 2024 Indian Malayalam-language comedy-drama film directed by Nahas Nazar and written by Thankam.[1] It stars Asif Ali[2] and Suraj Venjaramoodu.[3][4] In the film, After meeting at a bus stop, two men decide to travel together. Since they don't have a set destination, they go to different places and spend time together.",Nahas Nazar,Thankam,Ashiq Usman,"Asif Ali, Suraj Venjaramoodu",Jimshi Khalid,Nishadh Yusuf,9 August 2024,India,Malayalam,,
Adrianne and the Castle,"The film profiles Alan St. George, a man who maintains his home in rural Illinois as a shrine to his late wife Adrianne, including musical re-enactments of scenes from their earlier lives together performed by actors Nathan McDonald and SLee.[2]",Shannon Walsh,"Shannon Walsh, Laurel Sprengelmeyer",Ina Fichman,Alan St. George,Pablo Alvarez-Mesa,Sophie Farkas Bolla,"March 9, 2024(SXSW)",Canada,English,,
Adult Best Friends,"Adult Best Friends is a 2024 American comedy film directed by Delaney Buffett, who co-wrote the film with Katie Corwin. The film stars Buffett and Corwin as fictionalized versions of themselves, and follows two co-dependent adult friends who must cope with one of their engagements. The film premiered at Tribeca Festival on June 8, 2024, and was released on February 26, 2025 by Gravitas Ventures.",Delaney Buffett,"Delaney Buffett, Katie Corwin","Delaney Buffett, Marie Nikolova","Delaney Buffett, Katie Corwin, Mason Gooding, Zachary Quinto",Jessica Pantoja,Ian Holden,"June 8, 2024(Tribeca)",United States,English,,
Adult Swim Yule Log 2: Branchin' Out,"Adult Swim Yule Log 2: Branchin' Out is a surreal romantic comedy horror film that originally aired as a special on Adult Swim on December 6, 2024.[1] It was created, written, and directed by Casper Kelly, and produced by Williams Street. Created as a sequel to his previous film, Adult Swim Yule Log (also titled The Fireplace), the follows the events of the earlier film, where the surviving protagonist, Zoe, must navigate the traumatic horror movie experiences she suffered while trying to move on with her life, before finding herself inadvertently trapped within a traditional Christmas romantic comedy. The film serves as a meta commentary on both the horror movie and traditional Hallmark Christmas romantic comedy genres.",,,,,,,,,,,
Ae Watan Mere Watan,"Ae Watan Mere Watan (transl. Oh Country My Country) is a 2024 Hindi-language historical biographical film about India's struggle for freedom in 1942, based on the life of Usha Mehta, a brave young girl who starts an underground radio station to spread the message of unity, setting off a thrilling chase with the British authorities during the Quit India movement.[2][3] It is written and directed by Kannan Iyer and produced by Karan Johar, starring Sara Ali Khan, Alexx O'Nell and Emraan Hashmi.[4][5] The film premiered on 21 March 2024 on Amazon Prime Video to mixed reviews from critics.[6]",Kannan Iyer,"Darab Farooqui, Kannan Iyer","Karan Johar, Apoorva Mehta, Somen Mishra","Sara Ali Khan, Alexx O'Nell, Emraan Hashmi",Amalendu Chaudhary,Sangeeth Varghese,21 March 2024,India,Hindi,,
Affections,"Benjamín is a divorced school inspector who maintains a poor relationship with his ex-partner and a distant one with his teenage daughter. However, he finds himself under pressure when his daughter Karina transfers to the school where he works, as he must decide whether to follow the school administration's dirty instructions or get involved in the student protests in which his daughter participates.[4]","Diego Ayala, Aníbal Jofré","Diego Ayala, Aníbal Jofré","Francisca Mery, Valentina Roblero",Gastón Salgado,Paolo Tamburini,Camila Mercadal,"August 22, 2024(SANFIC)","Chile, Ecuador",Spanish,,
Afraid,"Afraid (stylized as AFRAID) is a 2024 American science fiction horror film written, produced and directed by Chris Weitz. Produced by Columbia Pictures with Jason Blum and Weitz through their Blumhouse Productions and Depth of Field banners respectively, the film stars John Cho, Katherine Waterston, Havana Rose Liu, Lukita Maxwell, David Dastmalchian, and Keith Carradine. Its plot follows a family whose smart home AI increasingly interjects itself into their lives.",Chris Weitz,Chris Weitz,"Jason Blum, Chris Weitz, Andrew Miano","John Cho, Katherine Waterston, Havana Rose Liu, Lukita Maxwell, David Dastmalchian, Keith Carradine",Javier Aguirresarobe,"Priscilla Nedd-Friendly, Tim Alverson","August 30, 2024",United States,English,,
African Giants,"The film first premiered in January 2024 at the Slamdance Film Festival, where it won the audience award for best narrative feature.[2]",Omar S. Kamara,Omar S. Kamara,"Leo Blumberg-Woll &        
Omar S. Kamara","Dillon Daniel Mutyaba &
Omete Anassi",Jonas Fischer,Lily Judge,19 January 2024(United States),United States,English,,
After Party,"In 2018, the film's screenplay was awarded the  Star of Tomorrow in the Czech Film Foundation competition for unrealised scripts.[1] The film was produced by Xova Film, with Česká Televize, i/o Post and  Studio Beep serving as co-producers.[2] It initially had the working title Eternal Peace (Věčný klid).[3]
It was shot in 14+1⁄2 days.[4]",Vojtech Strakaty,Vojtech Strakaty,Marek Novak,Eliska Basusová,Stanislav Adam,Filip de Pina,"September 5, 2024(Venice)",,Czech,,
After the Odyssey,"The film centres on the illegal human trafficking of immigrants in Italy, primarily women from Nigeria who are sold into sexual slavery;[2] despite the gravity of the film's themes, however, Doyle stressed that the film is ultimately less about the horror of human trafficking itself, and more about the strength, resilience and sisterhood of the women who went through the ordeal and the network of community services that have mobilized to battle the traffickers and help the women.[3]",Helen Doyle,Helen Doyle,"Germain Bonneau, Helen Doyle",,Philippe Lavalette,Annie Jean,"February 9, 2024",Canada,"French, Italian",,
Aftermath,"Aftermath is a 2024 American action film directed by Patrick Lussier and produced by Voltage Pictures. It stars Dylan Sprouse, Mason Gooding, Megan Stott and Dichen Lachman.",Patrick Lussier,,"Brian Pitt, Lucas Jarach, Tim Sullivan, Nicolas Chartier, Jonathan Deckter","Dylan Sprouse, Mason Gooding, Megan Stott, Dichen Lachman",Shelly Johnson,,"November 1, 2024",United States,English,,
Afternoons of Solitude,"Afternoons of Solitude (Spanish: Tardes de soledad) is a 2024 documentary film directed by Albert Serra about the Peruvian bullfighter Andrés Roca Rey.[1] Though Roca is on screen throughout, the film contains neither commentary nor interviews, and reveals very little about Roca’s personality, motives, or his life outside bullfighting. The film makes no overt comment about bullfighting.[2]",Albert Serra,,,Andrés Roca Rey,Artur Tort Pujol,"Albert Serra, Artur Tort Pujol",23 September 2024(Zinemaldia),"Spain, Portugal, France",Spanish,,
Agak Laen,"Bene, Boris, Oki, and Jegel own and operate a ghost house walkthrough at a fun fair. They always fail to attract visitors as the haunted house is not scary enough, until one day they decided to renovate the house and make it into a more thrilling attraction. Unfortunately, this approach resulted in the death of a well-known politician who was suffering from a heart attack. Afraid of getting into trouble, the four young men bury the body inside the haunted house. The dead man's spirit haunts the place, giving all the visitors a new experience of fear and making the place go viral. Meanwhile, the police investigate the missing politician.",Muhadkly Acho,,"Dipa Andika, Ernest Prakasa","Bene Dion, Oki Rengga, Indra Jegel, Boris Bokir, Tissa Biani, Indah Permatasari, Arie Kriting, Mamat Alkatiri",Arfian,Ryan Purwoko,"February 1, 2024(Indonesia)",Indonesia,Indonesian,,
Agastya: Chapter 1,"The film was released on 1 March 2024, in Nepal.[4][5]",Saurav Chaudhary,Saurav Chaudhary,,"Saugat Malla, Najir Husen, Nischal Basnet, Malika Mahat, Bijay Baral",Sanjay Lama,Nimesh Shrestha,1 March 2024,Nepal,,,
Agent of Happiness,It had its world premiere at the 2024 Sundance Film Festival where it was nominated for the Grand Jury Prize in the World Cinema Documentary category.[2] The film won the Best Non-Fiction Film Award at the 2nd Eikhoigi Imphal International Film Festival 2025.[3][4],"Arun Bhattarai, Dorottya Zurbó",,"Noémi Veronika Szakonyi, Máté Artur Vincze, Arun Bhattarai","Amber Kumar Gurung, Guna Raj Kuikel","Arun Bhattarai, Dorottya Zurbó",Péter Sass,"January 19, 2024(Sundance)","Bhutan, Hungary","Dzongkha, ,, Nepali, ,, English",,
Agent Recon,"The film was Norris's first film role since The Expendables 2 (2012), and was released in the United States on June 21, 2024.",Derek Ting,Derek Ting,"Derek Ting, Joyce Yung","Derek Ting, Marc Singer, Chuck Norris, Sylvia Kwan, Jason Scott Jenkins, Matthew Ryan Burnett, Nikki Leigh, Christopher Showerman",Zach Trout,Chris Damadyan,"June 21, 2024",United States,English,,
Agni,"Agni is a 2024 Indian Hindi-language action thriller written and directed by Rahul Dholakia.[1] The film is produced by Ritesh Sidhwani and Farhan Akhtar under Excel Entertainment in association with Amazon MGM Studios and stars Pratik Gandhi, Divyenndu, Jitendra Joshi, Saiyami Kher and Kabir Shah in lead roles.[2][3] Agni was released on 6 December 2024 on Amazon Prime Video to positive reviews.[4][5][6][7]",Rahul Dholakia,"Rahul Dholakia, Vijay Maurya","Ritesh Sidhwani, Farhan Akhtar","Pratik Gandhi, Divyenndu, Saiyami Kher, Jitendra Joshi, Kabir Shah",K. U. Mohanan,Deepa Bhatia,6 December 2024,India,Hindi,,
Agontuk,"The shooting of this film was completed two years ago (2022). The release of the film was delayed due to non-completion of post-production.[3] On Monday (June 10, 2024), Agontuk received an uncut censor.[4]",Sumon Dhar,,Kamal Hasan,"Shamol Mawla, Puja Cherry, Mili Bashar, Masum Bashar, Shahed Ali, Hindoi Rai","Farhad Hossain, Sunny Khan, Emad Imran","Raisul Islam Anik, Suboj Khan",17 June 2024,Bangladesh,Bengali,,
Aham Reboot,Aham Reboot is a 2024 Indian Telugu-language techno thriller film co-written and directed by Prashanth Sagar Atluri. The film features Sumanth in lead role.[1],Prashanth Sagar Atluri,,Sridhar Marisa,Sumanth,Varun Ankarla,Murali Krishna Manyam,30 June 2024,India,Telugu,,
Aho Vikramaarka,"Aho Vikramaarka is a 2024 Indian Telugu-language action drama film co-written and directed by Peta Trikoti.[1] The film features Dev Gill, Chitra Shukla, Pravin Tarde and Tejaswini Pandit in important roles.[2]",Peta Trikoti,,"Aarti Devinder Gill, Meehir Kulkarni, Ashwini Kumar Misra","Dev Gill, Chitra Shukla, Pravin Tarde, Tejaswini Pandit","Karam Chawla, Guru Prasad N",Tammiraju,30 August 2024,India,Telugu,,
Aïcha,"The film  was produced  by Cinetelefilms and Dolce Vita Films, with 13 Prods, Dorje Films, Sunnyland Films and Cinemawaves Films serving as co-producers.[1] It  is loosely based on real events.[2][3]",Mehdi Barsaoui,Mehdi Barsaoui,"Mohamed Habib Attia, Marc Irmer",Fatma Sfar,Antoine Héberlé,Camille Toubkis,"September 5, 2024(Venice)",,Arabic,,
Air Force One Down,"Air Force One Down is a 2024 American action thriller film directed by James Bamford, written and produced by Steven Paul, and starring Katherine McNamara, Ian Bohen, Dascha Polanco, Rade Šerbedžija, Paul S. Tracey, and Anthony Michael Hall.[2]",James Bamford,Steven Paul,Steven Paul,"Katherine McNamara, Ian Bohen, Dascha Polanco, Rade Šerbedžija, Paul S. Tracey, Anthony Michael Hall",Anton Bakarski,"Trevor Mirosh, Robert A. Ferretti","February 9, 2024",United States,English,,
Aire: Just Breathe,"In the year 2147, a virus as a result of a Great Chemical War has left all men on the planet sterile, bringing humanity to the brink of extinction. Biologist and scientist Tania tries to inseminate herself to ensure the survival of the human species, assisted by an artificial intelligence system called VIDA. However, everything changes when Azarias appears, a traveler with a dark past and possibly one of the last men on the planet.[5]",Leticia Tonos,"Leticia Tonos, Junior Rosario","Leticia Tonos, Jalsen Santana","Jalsen Santana, Sophie Gaëlle, Paz Vega",Luis Enrique Carrión,Gina Giudicelli,"January 28, 2024(IFFR)","Dominican Republic, Spain",Spanish,,
Ajab Raat Ni Gajab Vaat,"Ajab Raat Ni Gajab Vaat is a 2024 Gujarati comedy drama,[1]  directed by Prem Gadhavi & Killol Parmar and written by Prem Gadhavi, Aditi Varma & Nikita Shah. It stars Bhavya Gandhi[2] Aarohi Patel,[3][4] Deep Vaidya, Radhika Barot & RJ Harsh. The film is produced by Dr. Jayesh Pavra[5] The film will be distributed by Rupam Entertainment Pvt Ltd","Prem Gadhvi, Killol Parmar","Prem Gadhavi, Aditi Varma, Nikita Shah",Dr Jayesh Pavra,"Bhavya Gandhi, Aarohi Patel, Deep Vaidya, Radhika Barot, RJ Harsh",Jaymin,Harsh Shah,15 November 2024,India,Gujarati,,
Ajogyo,"Ajogyo is a 2024 Indian Bengali language romantic thriller written and directed by Kaushik Ganguly. The film stars Prosenjit Chatterjee, Rituparna Sengupta, Silajit Majumder and Lily Chakravarty in the lead roles.[1] Ambarish Bhattacharya and Sudip Mukherjee play other pivotal roles.[2][3] It is produced by Surinder Singh and Nispal Singh under the banner of Surinder Films.[4][5][6]",Kaushik Ganguly,,"Surinder Singh, Nispal Singh","Prosenjit Chatterjee, Rituparna Sengupta, Silajit Majumder, Lily Chakravarty",Gopi Bhagat,Subhajit Singha,7 June 2024,India,Bengali,,
The Akaali,"The Akaali is a 2024 Indian Tamil-language horror thriller film written and directed by Mohamed Asif Hameed in his debut. The film stars Nassar, Thalaivaasal Vijay, Jayakumar Janakiraman, Vinoth Kishan and Swayam Siddha.[1] The film was produced by Ukeshvaraan Prabhu under the banner of PBS Productions, and had a theatrical release on 31 May 2024.[2]",Mohamed Asif Hameed,Mohamed Asif Hameed,Ukeshvaraan Prabhu,"Nassar, Thalaivaasal Vijay, Jayakumar Janakiraman, Vinoth Kishan, Swayam Siddha",Giri Murphy,Iniyavan Pandiyan,31 May 2024,India,Tamil,,
