title,description,directed_by,produced_by,starring,country,language,release_date
Adult Swim Yule Log 2: Branchin' Out,"Adult Swim Yule Log 2: Branchin' Out is a surreal romantic comedy horror film that originally aired as a special on Adult Swim on December 6, 2024.[1] It was created, written, and directed by Casper Kelly, and produced by Williams Street. Created as a sequel to his previous film, Adult Swim Yule Log (also titled The Fireplace), the follows the events of the earlier film, where the surviving protagonist, Zoe, must navigate the traumatic horror movie experiences she suffered while trying to move on with her life, before finding herself inadvertently trapped within a traditional Christmas romantic comedy. The film serves as a meta commentary on both the horror movie and traditional Hallmark Christmas romantic comedy genres.",No data,No data,No data,No data,No data,No date
Ae Watan Mere Watan,"Ae Watan Mere Watan (transl. Oh Country My Country) is a 2024 Hindi-language historical biographical film about India's struggle for freedom in 1942, based on the life of Usha Mehta, a brave young girl who starts an underground radio station to spread the message of unity, setting off a thrilling chase with the British authorities during the Quit India movement.[2][3] It is written and directed by Kannan Iyer and produced by Karan Johar, starring Sara Ali Khan, Alexx O'Nell and Emraan Hashmi.[4][5] The film premiered on 21 March 2024 on Amazon Prime Video to mixed reviews from critics.[6]",Kannan Iyer,"Karan Johar, Apoorva Mehta, Somen Mishra","Sara Ali Khan, Alexx O'Nell, Emraan Hashmi",India,Hindi,21-03-2024
Affections,"Benjamín is a divorced school inspector who maintains a poor relationship with his ex-partner and a distant one with his teenage daughter. However, he finds himself under pressure when his daughter Karina transfers to the school where he works, as he must decide whether to follow the school administration's dirty instructions or get involved in the student protests in which his daughter participates.[4]","Diego Ayala, Aníbal Jofré","Francisca Mery, Valentina Roblero",Gastón Salgado,"Chile, Ecuador",Spanish,22-08-2024
Afraid,"Afraid (stylized as AFRAID) is a 2024 American science fiction horror film written, produced and directed by Chris Weitz. Produced by Columbia Pictures with Jason Blum and Weitz through their Blumhouse Productions and Depth of Field banners respectively, the film stars John Cho, Katherine Waterston, Havana Rose Liu, Lukita Maxwell, David Dastmalchian, and Keith Carradine. Its plot follows a family whose smart home AI increasingly interjects itself into their lives.",Chris Weitz,"Jason Blum, Chris Weitz, Andrew Miano","John Cho, Katherine Waterston, Havana Rose Liu, Lukita Maxwell, David Dastmalchian, Keith Carradine",United States,English,30-08-2024
African Giants,"The film first premiered in January 2024 at the Slamdance Film Festival, where it won the audience award for best narrative feature.[2]",Omar S. Kamara,"Leo Blumberg-Woll &        
Omar S. Kamara","Dillon Daniel Mutyaba &
Omete Anassi",United States,English,19-01-2024
After Party,"In 2018, the film's screenplay was awarded the  Star of Tomorrow in the Czech Film Foundation competition for unrealised scripts.[1] The film was produced by Xova Film, with Česká Televize, i/o Post and  Studio Beep serving as co-producers.[2] It initially had the working title Eternal Peace (Věčný klid).[3]
It was shot in 14+1⁄2 days.[4]",Vojtech Strakaty,Marek Novak,Eliska Basusová,No data,Czech,05-09-2024
After the Odyssey,"The film centres on the illegal human trafficking of immigrants in Italy, primarily women from Nigeria who are sold into sexual slavery;[2] despite the gravity of the film's themes, however, Doyle stressed that the film is ultimately less about the horror of human trafficking itself, and more about the strength, resilience and sisterhood of the women who went through the ordeal and the network of community services that have mobilized to battle the traffickers and help the women.[3]",Helen Doyle,"Germain Bonneau, Helen Doyle",No data,Canada,"French, Italian",09-02-2024
Aftermath,"Aftermath is a 2024 American action film directed by Patrick Lussier and produced by Voltage Pictures. It stars Dylan Sprouse, Mason Gooding, Megan Stott and Dichen Lachman.",Patrick Lussier,"Brian Pitt, Lucas Jarach, Tim Sullivan, Nicolas Chartier, Jonathan Deckter","Dylan Sprouse, Mason Gooding, Megan Stott, Dichen Lachman",United States,English,01-11-2024
Afternoons of Solitude,"Afternoons of Solitude (Spanish: Tardes de soledad) is a 2024 documentary film directed by Albert Serra about the Peruvian bullfighter Andrés Roca Rey.[1] Though Roca is on screen throughout, the film contains neither commentary nor interviews, and reveals very little about Roca’s personality, motives, or his life outside bullfighting. The film makes no overt comment about bullfighting.[2]",Albert Serra,No data,Andrés Roca Rey,"Spain, Portugal, France",Spanish,23-09-2024
Agak Laen,"Bene, Boris, Oki, and Jegel own and operate a ghost house walkthrough at a fun fair. They always fail to attract visitors as the haunted house is not scary enough, until one day they decided to renovate the house and make it into a more thrilling attraction. Unfortunately, this approach resulted in the death of a well-known politician who was suffering from a heart attack. Afraid of getting into trouble, the four young men bury the body inside the haunted house. The dead man's spirit haunts the place, giving all the visitors a new experience of fear and making the place go viral. Meanwhile, the police investigate the missing politician.",Muhadkly Acho,"Dipa Andika, Ernest Prakasa","Bene Dion, Oki Rengga, Indra Jegel, Boris Bokir, Tissa Biani, Indah Permatasari, Arie Kriting, Mamat Alkatiri",Indonesia,Indonesian,01-02-2024
Agastya: Chapter 1,"The film was released on 1 March 2024, in Nepal.[4][5]",Saurav Chaudhary,No data,"Saugat Malla, Najir Husen, Nischal Basnet, Malika Mahat, Bijay Baral",Nepal,No data,01-03-2024
Agent of Happiness,It had its world premiere at the 2024 Sundance Film Festival where it was nominated for the Grand Jury Prize in the World Cinema Documentary category.[2] The film won the Best Non-Fiction Film Award at the 2nd Eikhoigi Imphal International Film Festival 2025.[3][4],"Arun Bhattarai, Dorottya Zurbó","Noémi Veronika Szakonyi, Máté Artur Vincze, Arun Bhattarai","Amber Kumar Gurung, Guna Raj Kuikel","Bhutan, Hungary","Dzongkha, ,, Nepali, ,, English",19-01-2024
Agent Recon,"The film was Norris's first film role since The Expendables 2 (2012), and was released in the United States on June 21, 2024.",Derek Ting,"Derek Ting, Joyce Yung","Derek Ting, Marc Singer, Chuck Norris, Sylvia Kwan, Jason Scott Jenkins, Matthew Ryan Burnett, Nikki Leigh, Christopher Showerman",United States,English,21-06-2024
Agni,"Agni is a 2024 Indian Hindi-language action thriller written and directed by Rahul Dholakia.[1] The film is produced by Ritesh Sidhwani and Farhan Akhtar under Excel Entertainment in association with Amazon MGM Studios and stars Pratik Gandhi, Divyenndu, Jitendra Joshi, Saiyami Kher and Kabir Shah in lead roles.[2][3] Agni was released on 6 December 2024 on Amazon Prime Video to positive reviews.[4][5][6][7]",Rahul Dholakia,"Ritesh Sidhwani, Farhan Akhtar","Pratik Gandhi, Divyenndu, Saiyami Kher, Jitendra Joshi, Kabir Shah",India,Hindi,06-12-2024
Agontuk,"The shooting of this film was completed two years ago (2022). The release of the film was delayed due to non-completion of post-production.[3] On Monday (June 10, 2024), Agontuk received an uncut censor.[4]",Sumon Dhar,Kamal Hasan,"Shamol Mawla, Puja Cherry, Mili Bashar, Masum Bashar, Shahed Ali, Hindoi Rai",Bangladesh,Bengali,17-06-2024
Aham Reboot,Aham Reboot is a 2024 Indian Telugu-language techno thriller film co-written and directed by Prashanth Sagar Atluri. The film features Sumanth in lead role.[1],Prashanth Sagar Atluri,Sridhar Marisa,Sumanth,India,Telugu,30-06-2024
Aho Vikramaarka,"Aho Vikramaarka is a 2024 Indian Telugu-language action drama film co-written and directed by Peta Trikoti.[1] The film features Dev Gill, Chitra Shukla, Pravin Tarde and Tejaswini Pandit in important roles.[2]",Peta Trikoti,"Aarti Devinder Gill, Meehir Kulkarni, Ashwini Kumar Misra","Dev Gill, Chitra Shukla, Pravin Tarde, Tejaswini Pandit",India,Telugu,30-08-2024
Aïcha,"The film  was produced  by Cinetelefilms and Dolce Vita Films, with 13 Prods, Dorje Films, Sunnyland Films and Cinemawaves Films serving as co-producers.[1] It  is loosely based on real events.[2][3]",Mehdi Barsaoui,"Mohamed Habib Attia, Marc Irmer",Fatma Sfar,No data,Arabic,05-09-2024
Air Force One Down,"Air Force One Down is a 2024 American action thriller film directed by James Bamford, written and produced by Steven Paul, and starring Katherine McNamara, Ian Bohen, Dascha Polanco, Rade Šerbedžija, Paul S. Tracey, and Anthony Michael Hall.[2]",James Bamford,Steven Paul,"Katherine McNamara, Ian Bohen, Dascha Polanco, Rade Šerbedžija, Paul S. Tracey, Anthony Michael Hall",United States,English,09-02-2024
Aire: Just Breathe,"In the year 2147, a virus as a result of a Great Chemical War has left all men on the planet sterile, bringing humanity to the brink of extinction. Biologist and scientist Tania tries to inseminate herself to ensure the survival of the human species, assisted by an artificial intelligence system called VIDA. However, everything changes when Azarias appears, a traveler with a dark past and possibly one of the last men on the planet.[5]",Leticia Tonos,"Leticia Tonos, Jalsen Santana","Jalsen Santana, Sophie Gaëlle, Paz Vega","Dominican Republic, Spain",Spanish,28-01-2024
Ajab Raat Ni Gajab Vaat,"Ajab Raat Ni Gajab Vaat is a 2024 Gujarati comedy drama,[1]  directed by Prem Gadhavi & Killol Parmar and written by Prem Gadhavi, Aditi Varma & Nikita Shah. It stars Bhavya Gandhi[2] Aarohi Patel,[3][4] Deep Vaidya, Radhika Barot & RJ Harsh. The film is produced by Dr. Jayesh Pavra[5] The film will be distributed by Rupam Entertainment Pvt Ltd","Prem Gadhvi, Killol Parmar",Dr Jayesh Pavra,"Bhavya Gandhi, Aarohi Patel, Deep Vaidya, Radhika Barot, RJ Harsh",India,Gujarati,15-11-2024
Ajogyo,"Ajogyo is a 2024 Indian Bengali language romantic thriller written and directed by Kaushik Ganguly. The film stars Prosenjit Chatterjee, Rituparna Sengupta, Silajit Majumder and Lily Chakravarty in the lead roles.[1] Ambarish Bhattacharya and Sudip Mukherjee play other pivotal roles.[2][3] It is produced by Surinder Singh and Nispal Singh under the banner of Surinder Films.[4][5][6]",Kaushik Ganguly,"Surinder Singh, Nispal Singh","Prosenjit Chatterjee, Rituparna Sengupta, Silajit Majumder, Lily Chakravarty",India,Bengali,07-06-2024
The Akaali,"The Akaali is a 2024 Indian Tamil-language horror thriller film written and directed by Mohamed Asif Hameed in his debut. The film stars Nassar, Thalaivaasal Vijay, Jayakumar Janakiraman, Vinoth Kishan and Swayam Siddha.[1] The film was produced by Ukeshvaraan Prabhu under the banner of PBS Productions, and had a theatrical release on 31 May 2024.[2]",Mohamed Asif Hameed,Ukeshvaraan Prabhu,"Nassar, Thalaivaasal Vijay, Jayakumar Janakiraman, Vinoth Kishan, Swayam Siddha",India,Tamil,31-05-2024
Akangba Pee,"Akangba Pee (English: Dry Tears) is a 2024 non-feature Manipuri film written and directed by Khwairakpam Bishwamittra.[1] Produced by Sarungbam Haripriya Devi and presented by Millennia Khwai under the banner of Millennium Force Manipur, the film stars Ningthoujam Rina and Rajkumari Romila in the lead roles.[2] It was premiered at Kumecs Cinema, Kakwa on 1 May 2024.[3] The film got selection at the 17th SiGNS Festival 2024 in the Short Fiction Competition category.[4] It was screened at the 2nd North East India Film Festival, Manipur 2025 under the non-competition section (NEIFF Spectrum).[5][6][7]",Khwairakpam Bishwamittra,Sarungbam Haripyari Devi,"Ningthoujam Rina, Rajkumari Romila",India,"Meiteilon, (, Manipuri, )",01-05-2024
Akkaran,"Akkaran is a 2024 Indian Tamil-language suspense crime film film written and directed by Arun K Prasad. The film stars M. S. Bhaskar and Kabali Vishwanth, and was produced by KKD under the banner of Kundram Productions.[1]",Arun K Prasad,KKD,"M. S. Bhaskar, Kabali Vishwanth",India,Tamil,03-05-2024
Alaap,"Alaap[1][2] is a 2024 Indian Bengali-language romantic drama film written and directed by Premendu Bikash Chaki. Produced by Nispal Singh and Surinder Singh under the banner of Surinder Films, it stars Abir Chatterjee, Mimi Chakraborty and Swastika Dutta in the lead roles.[3]",Premendu Bikash Chaki,"Nispal Singh, Surinder Singh","Abir Chatterjee, Mimi Chakraborty, Swastika Dutta, Anusua Das",India,Bengali,26-04-2024
Alakada: Bad and Boujee,"Alakada: Bad and Boujee is a 2024 Nigerian English-language comedy-drama film directed by Adebayo Tijani and written by Toyin Abraham. It serves as a continuation of the Alakada film series.[1] The film stars Toyin Abraham, Odunlade Adekola, Ini Edo, Bimbo Akintola Ronke Odusanya, and Okusanya Lolade, with Yhemolee, Ik Ogbonna, and Chimezie Imo playing supporting roles. The film follows the escapades of Yetunde Animashaun, a young woman from a humble background who pretends to be part of the elite to navigate social situations.",Adebayo Tijani,Toyin Abraham,"Toyin Abraham, Odunlade Adekola, Bimbo Ademoye, Ronke Odusanya, Yhemolee, Chimezie Imo",Nigeria,"English, Yoruba",20-12-2024
Alanaati Ramchandrudu,"Alanaati Ramchandrudu is a 2024 Indian Telugu-language film written and directed by Chilukuri Akash Reddy.[1] It is produced by Hymavathi Jadapolu, Sreeram Jadapolu under the banner of Hyniva Creations LLP.[2] the film features Krishna Vamsi, Mokksha, Brahmaji, Sudha, Sivannarayana Naripeddi, Vasu Inturi in important roles alongside other ensemble cast.[citation needed]",Chilukuri Akash Reddy,"Hymavathi Jadapolu, Sreeram Jadapolu","Krishna Vamsi, Mokksha, Brahmaji, Sudha, Sivannarayana Naripeddi, Vasu Inturi",India,Telugu,02-08-2024
Alangu,"Alangu is a 2024 Indian action thriller film written and directed by S.P. Shakthivel. The film is produced by D Sabareesh and S.A. Sangamithra under DG Film Company in association with Magnas Productions. The film stars Chemban Vinod, Gunanidhi and   Kaali Venkat in the lead roles, alongside Appani Sarath, Sreerekha and others in supporting roles.[1] Set in the Tamil Nadu-Kerala border, the film contains both Tamil and Malayalam dialogues.[2]",S. P. Shakthivel,"D Sabareesh, S.A. Sangamithra","Gunanidhi, Chemban Vinod, Kaali Venkat, Appani Sarath",India,"Tamil, Malayalam",27-12-2024
Albany Road,"The film premiered at the 2024 Ebertfest film festival on April 20, 2024.[1][2] It was included at the 28th annual American Black Film Festival in June 2024,[3][4] and was released in selected theaters on November 15, 2024, by AMC Theatres and Malco Theatres.[5]",Christine Swanson,"Michael Swanson, Sarah Sharp, Kevin McGrail, Brett Hays","Renée Elise Goldsberry, Lynn Whitfield",United States,English,20-04-2024
Alec Guinness: A Class Act,"The story is told by family, friends and peers, and also using Guinness's own words from interviews and voice recordings.",Brian O'Flaherty,Brian O'Flaherty,"Simon Callow, Sinéad Cusack, Tom Courtenay, Sally Guinness, Jeremy Irons",Ireland,English,01-11-2024
Algiers,"It was selected as the Algerian entry for the Best International Feature Film at the 97th Academy Awards, but was not nominated.[5]",Chakib Taleb-Bendiab,"Khaled Chikhi, Yasmine Dhoukar","Meriem Medjkane, Nabil Asli, Hichem Mesbah","Algeria, Tunisia, France, Canada","Arabic, French",09-08-2024
